NVIDIA GeForce RTX 4090   lr 0.0003  wd 0.05  cosine + 3ep warmup, no augmentation
train (112800, 28, 28)  test (18800, 28, 28)  subsets [28200, 28200, 28200, 28200]
  base224_set1           ep 46 set 1  test 0.8672  current 1.0000  set1 1.0000  (4113 s)
  base224_set1           ep 47 set 1  test 0.8630  current 0.9998  set1 0.9998  (4202 s)
  base224_set1           ep 48 set 1  test 0.8682  current 1.0000  set1 1.0000  (4292 s)
  base224_set1           ep 49 set 1  test 0.8662  current 1.0000  set1 1.0000  (4381 s)
  base224_set1           ep 50 set 1  test 0.8667  current 1.0000  set1 1.0000  (4471 s)
  base224_set1           ep 51 set 1  test 0.8672  current 1.0000  set1 1.0000  (4560 s)
  base224_set1           ep 52 set 1  test 0.8656  current 1.0000  set1 1.0000  (4649 s)
  base224_set1           ep 53 set 1  test 0.8663  current 1.0000  set1 1.0000  (4739 s)
  base224_set1           ep 54 set 1  test 0.8671  current 1.0000  set1 1.0000  (4828 s)
  base224_set1           ep 55 set 1  test 0.8676  current 1.0000  set1 1.0000  (4917 s)
  base224_set1           ep 56 set 1  test 0.8674  current 1.0000  set1 1.0000  (5007 s)
  base224_set1           ep 57 set 1  test 0.8677  current 1.0000  set1 1.0000  (5096 s)
  base224_set1           ep 58 set 1  test 0.8680  current 1.0000  set1 1.0000  (5186 s)
  base224_set1           ep 59 set 1  test 0.8681  current 1.0000  set1 1.0000  (5275 s)
  base224_set1           ep 60 set 1  test 0.8681  current 1.0000  set1 1.0000  (5364 s)

wrote /home/kevin/claude-code/mother-embedding/CurriculumEMNIST/scratch_runs
